time,wx,wy,wz
10,0.05,-0.02,-0.07
10.002,0.04,-0.01,-0.07
10.004,0.04,0,-0.07
10.007,0.03,0.01,-0.07
10.01,0.02,0.01,-0.06
10.012,0.02,0.02,-0.06
10.015,0.01,0.02,-0.06
10.018,0,0.02,-0.06
10.019,0,0.03,-0.06
10.021,0,0.04,-0.06
10.023,-0.01,0.05,-0.06
10.026,-0.01,0.06,-0.06
10.028,-0.01,0.07,-0.06
10.03,-0.01,0.08,-0.06
10.034,-0.01,0.09,-0.06
10.035,-0.02,0.1,-0.06
10.037,-0.02,0.1,-0.06
10.04,-0.03,0.11,-0.06
10.042,-0.04,0.12,-0.06
10.044,-0.05,0.13,-0.07
10.046,-0.05,0.14,-0.07
10.051,-0.06,0.15,-0.07
10.052,-0.06,0.16,-0.07
10.053,-0.07,0.17,-0.08
10.056,-0.07,0.19,-0.08
10.058,-0.07,0.21,-0.08
10.061,-0.07,0.22,-0.09
10.063,-0.07,0.23,-0.1
10.07,-0.07,0.23,-0.1
10.07,-0.07,0.24,-0.11
10.071,-0.07,0.24,-0.11
10.072,-0.06,0.25,-0.12
10.074,-0.06,0.25,-0.13
10.082,-0.06,0.24,-0.13
10.083,-0.05,0.24,-0.13
10.086,-0.05,0.24,-0.14
10.086,-0.04,0.24,-0.14
10.086,-0.04,0.22,-0.14
10.089,-0.03,0.22,-0.15
10.091,-0.03,0.22,-0.15
10.093,-0.02,0.19,-0.15
10.106,-0.02,0.18,-0.16
10.107,-0.02,0.16,-0.16
10.107,-0.02,0.15,-0.16
10.107,-0.02,0.13,-0.16
10.107,-0.02,0.11,-0.16
10.109,-0.02,0.1,-0.16
10.11,-0.02,0.08,-0.16
10.112,-0.02,0.07,-0.16
10.114,-0.02,0.05,-0.17
10.12,-0.02,0.03,-0.17
10.12,-0.03,0.02,-0.17
10.121,-0.03,0.01,-0.17
10.123,-0.03,0,-0.17
10.125,-0.04,0,-0.16
10.127,-0.04,-0.02,-0.16
10.13,-0.04,-0.02,-0.16
10.133,-0.05,-0.03,-0.16
10.136,-0.06,-0.02,-0.15
10.137,-0.06,-0.02,-0.16
10.139,-0.07,-0.02,-0.15
10.141,-0.07,-0.02,-0.15
10.144,-0.07,-0.02,-0.14
10.146,-0.08,-0.01,-0.14
10.148,-0.08,-0.01,-0.14
10.152,-0.09,0,-0.13
10.153,-0.09,-0.01,-0.13
10.155,-0.09,-0.01,-0.13
10.158,-0.09,-0.01,-0.12
10.16,-0.09,-0.02,-0.12
10.162,-0.09,-0.02,-0.11
10.165,-0.09,-0.02,-0.11
10.167,-0.08,-0.02,-0.11
10.17,-0.08,-0.01,-0.1
10.172,-0.07,-0.01,-0.1
10.174,-0.06,-0.01,-0.1
10.176,-0.06,-0.01,-0.09
10.179,-0.05,-0.01,-0.09
10.181,-0.04,0,-0.09
10.183,-0.04,0,-0.09
10.186,-0.03,0,-0.09
10.188,-0.02,0,-0.09
10.191,-0.01,0,-0.09
10.193,-0.01,-0.01,-0.09
10.195,0,-0.02,-0.09
10.197,0.01,-0.03,-0.1
10.2,0.02,-0.04,-0.1
10.203,0.03,-0.06,-0.1
10.204,0.05,-0.07,-0.1
10.206,0.06,-0.09,-0.11
10.211,0.07,-0.1,-0.11
10.216,0.09,-0.11,-0.11
10.217,0.11,-0.13,-0.11
10.217,0.12,-0.15,-0.12
10.218,0.14,-0.16,-0.12
10.221,0.15,-0.17,-0.12
10.223,0.16,-0.18,-0.13
10.226,0.18,-0.19,-0.13
10.242,0.19,-0.21,-0.14
10.243,0.2,-0.22,-0.15
10.243,0.21,-0.24,-0.16
10.243,0.22,-0.26,-0.16
10.243,0.23,-0.28,-0.16
10.243,0.25,-0.3,-0.17
10.243,0.26,-0.32,-0.17
10.245,0.27,-0.35,-0.17
10.246,0.29,-0.37,-0.18
10.249,0.3,-0.39,-0.18
10.253,0.32,-0.41,-0.18
10.254,0.34,-0.44,-0.19
10.256,0.36,-0.46,-0.19
10.258,0.38,-0.48,-0.2
10.26,0.41,-0.5,-0.21
10.262,0.43,-0.52,-0.21
10.264,0.46,-0.54,-0.22
10.267,0.48,-0.55,-0.22
10.27,0.51,-0.56,-0.23
10.271,0.54,-0.57,-0.24
10.274,0.57,-0.59,-0.24
10.276,0.6,-0.58,-0.25
10.279,0.63,-0.58,-0.25
10.281,0.66,-0.57,-0.25
10.284,0.69,-0.56,-0.25
10.286,0.73,-0.54,-0.25
10.288,0.76,-0.52,-0.24
10.29,0.79,-0.49,-0.24
10.292,0.82,-0.48,-0.24
10.295,0.86,-0.46,-0.24
10.297,0.89,-0.44,-0.24
10.3,0.93,-0.43,-0.23
10.303,0.97,-0.42,-0.22
10.304,1.01,-0.41,-0.21
10.306,1.06,-0.4,-0.2
10.311,1.11,-0.4,-0.18
10.312,1.16,-0.39,-0.17
10.313,1.21,-0.4,-0.16
10.316,1.27,-0.4,-0.16
10.318,1.33,-0.4,-0.15
10.321,1.39,-0.41,-0.15
10.323,1.46,-0.42,-0.14
10.325,1.54,-0.45,-0.14
10.328,1.62,-0.48,-0.14
10.33,1.71,-0.52,-0.15
10.333,1.8,-0.57,-0.15
10.336,1.88,-0.62,-0.16
10.338,1.96,-0.67,-0.17
10.339,2.03,-0.72,-0.19
10.342,2.1,-0.77,-0.21
10.344,2.16,-0.81,-0.22
10.346,2.21,-0.85,-0.24
10.35,2.25,-0.87,-0.25
10.351,2.28,-0.88,-0.26
10.353,2.31,-0.9,-0.28
10.356,2.33,-0.9,-0.3
10.358,2.35,-0.9,-0.32
10.36,2.36,-0.91,-0.34
10.366,2.37,-0.91,-0.36
10.366,2.37,-0.92,-0.38
10.37,2.36,-0.92,-0.4
10.371,2.36,-0.91,-0.41
10.376,2.34,-0.9,-0.42
10.377,2.31,-0.89,-0.44
10.377,2.28,-0.86,-0.45
10.391,2.24,-0.82,-0.47
10.391,2.19,-0.78,-0.48
10.392,2.14,-0.72,-0.49
10.392,2.1,-0.67,-0.5
10.392,2.05,-0.62,-0.5
10.392,1.99,-0.56,-0.5
10.394,1.95,-0.53,-0.5
10.395,1.91,-0.51,-0.5
10.398,1.88,-0.48,-0.5
10.4,1.85,-0.47,-0.51
10.403,1.82,-0.47,-0.51
10.404,1.8,-0.48,-0.51
10.407,1.77,-0.5,-0.52
10.41,1.75,-0.52,-0.53
10.411,1.73,-0.56,-0.54
10.413,1.71,-0.6,-0.54
10.416,1.69,-0.64,-0.56
10.418,1.68,-0.69,-0.57
10.421,1.66,-0.74,-0.58
10.423,1.65,-0.8,-0.6
10.425,1.64,-0.86,-0.61
10.427,1.62,-0.93,-0.61
10.43,1.61,-0.98,-0.62
10.433,1.59,-1.03,-0.62
10.435,1.58,-1.07,-0.62
10.437,1.57,-1.1,-0.63
10.44,1.55,-1.12,-0.63
10.442,1.53,-1.13,-0.64
10.444,1.51,-1.14,-0.63
10.447,1.48,-1.14,-0.63
10.449,1.45,-1.14,-0.62
10.451,1.42,-1.15,-0.61
10.453,1.38,-1.15,-0.59
10.456,1.33,-1.16,-0.56
10.458,1.29,-1.17,-0.53
10.46,1.25,-1.17,-0.5
10.463,1.2,-1.18,-0.47
10.465,1.17,-1.17,-0.43
10.467,1.13,-1.16,-0.4
10.47,1.1,-1.15,-0.36
10.472,1.07,-1.12,-0.33
10.474,1.04,-1.09,-0.3
10.477,1.02,-1.06,-0.26
10.479,0.99,-1.02,-0.23
10.481,0.97,-0.99,-0.19
10.484,0.95,-0.95,-0.16
10.486,0.93,-0.92,-0.14
10.489,0.91,-0.9,-0.11
10.491,0.89,-0.88,-0.08
10.493,0.87,-0.87,-0.06
10.496,0.85,-0.86,-0.04
10.497,0.83,-0.85,-0.03
10.501,0.81,-0.84,-0.02
10.502,0.79,-0.84,0
10.504,0.78,-0.84,0.01
10.507,0.76,-0.84,0.02
10.51,0.75,-0.84,0.03
10.511,0.73,-0.84,0.03
10.516,0.72,-0.86,0.03
10.517,0.71,-0.86,0.04
10.519,0.7,-0.85,0.04
10.521,0.69,-0.84,0.04
10.523,0.69,-0.83,0.05
10.526,0.68,-0.81,0.05
10.528,0.68,-0.79,0.05
10.539,0.67,-0.76,0.05
10.539,0.67,-0.73,0.05
10.539,0.66,-0.71,0.06
10.54,0.66,-0.67,0.06
10.54,0.65,-0.64,0.06
10.542,0.65,-0.6,0.07
10.544,0.64,-0.57,0.07
10.547,0.64,-0.53,0.08
10.549,0.63,-0.49,0.09
10.553,0.62,-0.46,0.09
10.555,0.61,-0.43,0.09
10.556,0.59,-0.39,0.1
10.558,0.58,-0.36,0.09
10.56,0.57,-0.33,0.09
10.563,0.55,-0.3,0.09
10.565,0.54,-0.27,0.09
10.568,0.53,-0.24,0.08
10.571,0.52,-0.21,0.07
10.572,0.52,-0.18,0.06
10.574,0.52,-0.17,0.05
10.576,0.51,-0.16,0.04
10.579,0.51,-0.16,0.03
10.582,0.51,-0.16,0.02
10.584,0.52,-0.17,0
10.586,0.53,-0.18,-0.01
10.589,0.54,-0.18,-0.03
10.591,0.55,-0.18,-0.04
10.593,0.57,-0.18,-0.06
10.595,0.58,-0.18,-0.07
10.598,0.6,-0.17,-0.07
10.601,0.61,-0.17,-0.07
10.604,0.62,-0.16,-0.08
10.604,0.63,-0.14,-0.08
10.607,0.64,-0.12,-0.09
10.61,0.64,-0.1,-0.1
10.612,0.64,-0.09,-0.1
10.617,0.65,-0.08,-0.11
10.618,0.65,-0.07,-0.11
10.619,0.65,-0.07,-0.11
10.621,0.65,-0.06,-0.12
10.623,0.64,-0.07,-0.12
10.626,0.64,-0.07,-0.13
10.628,0.63,-0.06,-0.14
10.641,0.63,-0.06,-0.15
10.642,0.63,-0.06,-0.15
10.642,0.62,-0.08,-0.15
10.642,0.62,-0.09,-0.16
10.642,0.62,-0.1,-0.17
10.642,0.62,-0.11,-0.17
10.645,0.61,-0.12,-0.18
10.647,0.61,-0.12,-0.19
10.649,0.61,-0.12,-0.19
10.652,0.61,-0.13,-0.2
10.655,0.6,-0.14,-0.2
10.656,0.6,-0.14,-0.2
10.658,0.59,-0.15,-0.2
10.66,0.59,-0.15,-0.2
10.663,0.58,-0.15,-0.2
10.665,0.57,-0.14,-0.19
10.667,0.57,-0.14,-0.19
10.67,0.56,-0.14,-0.19
10.672,0.56,-0.12,-0.19
10.674,0.55,-0.11,-0.18
10.677,0.56,-0.08,-0.18
10.679,0.56,-0.06,-0.18
10.681,0.56,-0.05,-0.17
10.684,0.56,-0.04,-0.16
10.688,0.56,-0.04,-0.16
10.689,0.56,-0.03,-0.15
10.691,0.55,-0.03,-0.15
10.693,0.55,-0.03,-0.14
10.695,0.55,-0.04,-0.13
10.697,0.54,-0.04,-0.12
10.7,0.54,-0.05,-0.12
10.703,0.54,-0.06,-0.11
10.704,0.53,-0.07,-0.1
10.707,0.52,-0.08,-0.1
10.709,0.52,-0.08,-0.09
10.712,0.52,-0.09,-0.08
10.714,0.5,-0.1,-0.07
10.716,0.48,-0.12,-0.06
10.719,0.46,-0.14,-0.05
10.721,0.44,-0.16,-0.05
10.723,0.42,-0.18,-0.04
10.725,0.4,-0.21,-0.03
10.728,0.38,-0.23,-0.02
10.731,0.35,-0.24,-0.02
10.733,0.33,-0.26,-0.01
10.735,0.32,-0.29,0
10.737,0.3,-0.31,0.01
10.74,0.28,-0.33,0.02
10.742,0.27,-0.36,0.02
10.744,0.26,-0.38,0.02
10.75,0.25,-0.4,0.03
10.75,0.24,-0.42,0.03
10.751,0.23,-0.43,0.04
10.755,0.22,-0.45,0.04
10.756,0.22,-0.47,0.05
10.761,0.21,-0.49,0.06
10.761,0.2,-0.51,0.07
10.776,0.18,-0.53,0.08
10.777,0.17,-0.55,0.09
10.777,0.16,-0.56,0.1
10.777,0.15,-0.57,0.11
10.777,0.14,-0.57,0.12
10.777,0.13,-0.57,0.14
10.777,0.12,-0.57,0.16
10.779,0.11,-0.56,0.17
