time,wx,wy,wz
0.003,0.24,-0.15,0.20
0.003,0.20,-0.14,0.19
0.004,0.16,-0.14,0.19
0.004,0.11,-0.14,0.18
0.004,0.07,-0.14,0.16
0.004,0.03,-0.14,0.14
0.006,-0.01,-0.15,0.12
0.011,-0.04,-0.16,0.10
0.011,-0.08,-0.17,0.07
0.014,-0.11,-0.18,0.05
0.016,-0.15,-0.19,0.02
0.018,-0.18,-0.20,-0.00
0.020,-0.21,-0.20,-0.03
0.023,-0.26,-0.20,-0.05
0.025,-0.28,-0.21,-0.07
0.028,-0.32,-0.21,-0.10
0.030,-0.36,-0.21,-0.12
0.032,-0.40,-0.22,-0.14
0.034,-0.43,-0.22,-0.16
0.037,-0.46,-0.22,-0.18
0.040,-0.49,-0.22,-0.20
0.041,-0.51,-0.21,-0.22
0.044,-0.54,-0.19,-0.23
0.046,-0.55,-0.17,-0.25
0.048,-0.57,-0.15,-0.27
0.051,-0.58,-0.13,-0.28
0.053,-0.59,-0.11,-0.29
0.055,-0.60,-0.08,-0.30
0.058,-0.62,-0.05,-0.31
0.061,-0.62,-0.03,-0.33
0.062,-0.62,0.01,-0.34
0.065,-0.63,0.05,-0.35
0.069,-0.64,0.08,-0.36
0.069,-0.64,0.13,-0.37
0.072,-0.64,0.17,-0.37
0.074,-0.64,0.21,-0.37
0.076,-0.65,0.26,-0.37
0.080,-0.66,0.30,-0.37
0.081,-0.66,0.33,-0.37
0.083,-0.66,0.36,-0.36
0.086,-0.65,0.40,-0.36
0.088,-0.66,0.43,-0.35
0.090,-0.68,0.47,-0.34
0.092,-0.67,0.51,-0.33
0.095,-0.67,0.52,-0.32
0.100,-0.67,0.55,-0.31
0.100,-0.67,0.57,-0.29
0.102,-0.67,0.58,-0.28
0.104,-0.66,0.59,-0.27
0.106,-0.66,0.59,-0.26
0.109,-0.66,0.60,-0.26
0.111,-0.67,0.60,-0.26
0.113,-0.67,0.59,-0.26
0.116,-0.66,0.58,-0.27
0.118,-0.66,0.56,-0.28
0.120,-0.67,0.54,-0.29
0.123,-0.67,0.53,-0.30
0.126,-0.66,0.52,-0.32
0.127,-0.66,0.50,-0.34
0.130,-0.66,0.49,-0.35
0.133,-0.66,0.47,-0.37
0.134,-0.67,0.46,-0.39
0.137,-0.66,0.44,-0.40
0.140,-0.66,0.41,-0.42
0.141,-0.67,0.40,-0.44
0.144,-0.66,0.38,-0.45
0.146,-0.67,0.36,-0.47
0.148,-0.67,0.36,-0.49
0.151,-0.68,0.34,-0.50
0.153,-0.69,0.33,-0.52
0.155,-0.69,0.33,-0.54
0.158,-0.69,0.32,-0.55
0.160,-0.69,0.32,-0.56
0.162,-0.69,0.33,-0.57
0.166,-0.70,0.33,-0.58
0.167,-0.68,0.34,-0.59
0.169,-0.69,0.34,-0.60
0.172,-0.69,0.34,-0.60
0.174,-0.69,0.34,-0.60
0.176,-0.69,0.33,-0.59
0.182,-0.68,0.32,-0.59
0.182,-0.68,0.30,-0.58
0.183,-0.67,0.28,-0.57
0.186,-0.67,0.27,-0.55
0.188,-0.67,0.24,-0.55
0.190,-0.67,0.21,-0.54
0.193,-0.67,0.17,-0.53
0.195,-0.71,0.03,-0.52
0.198,-0.78,-0.13,-0.52
0.200,-0.85,-0.27,-0.51
0.202,-0.92,-0.38,-0.50
0.204,-1.00,-0.48,-0.49
0.207,-1.08,-0.57,-0.46
0.210,-1.16,-0.65,-0.43
0.211,-1.25,-0.70,-0.40
0.214,-1.35,-0.74,-0.36
0.216,-1.44,-0.78,-0.32
0.218,-1.54,-0.81,-0.27
0.220,-1.63,-0.84,-0.23
0.223,-1.73,-0.85,-0.18
0.225,-1.82,-0.87,-0.14
0.229,-1.91,-0.89,-0.09
0.231,-1.98,-0.92,-0.04
0.232,-2.06,-0.94,0.01
0.234,-2.13,-0.96,0.05
0.237,-2.19,-0.99,0.10
0.240,-2.24,-1.03,0.14
0.241,-2.29,-1.07,0.18
0.244,-2.33,-1.11,0.23
0.246,-2.37,-1.15,0.26
0.249,-2.39,-1.19,0.30
0.251,-2.41,-1.21,0.33
0.253,-2.42,-1.22,0.36
0.256,-2.43,-1.20,0.39
0.258,-2.43,-1.19,0.42
0.260,-2.42,-1.15,0.45
0.262,-2.41,-1.10,0.48
0.265,-2.38,-1.06,0.50
0.267,-2.34,-1.00,0.53
0.270,-2.31,-0.94,0.55
0.272,-2.28,-0.95,0.59
0.274,-2.26,-0.97,0.63
0.277,-2.25,-0.93,0.66
0.280,-2.23,-0.84,0.67
0.282,-2.21,-0.71,0.68
0.283,-2.19,-0.57,0.68
0.286,-2.14,-0.41,0.67
0.288,-2.11,-0.27,0.67
0.290,-2.06,-0.11,0.68
0.293,-2.00,0.04,0.68
0.295,-1.92,0.17,0.70
0.297,-1.84,0.30,0.72
0.300,-1.77,0.42,0.74
0.302,-1.68,0.53,0.77
0.304,-1.59,0.62,0.80
0.307,-1.50,0.71,0.83
0.309,-1.40,0.79,0.85
0.313,-1.31,0.86,0.88
0.314,-1.20,0.91,0.89
0.316,-1.10,0.94,0.91
0.318,-0.98,0.96,0.92
0.321,-0.86,0.96,0.93
0.323,-0.74,0.96,0.93
0.325,-0.62,0.95,0.93
0.328,-0.49,0.92,0.93
0.330,-0.36,0.90,0.92
0.333,-0.22,0.87,0.92
0.335,-0.08,0.84,0.91
0.337,0.07,0.77,0.93
0.340,0.25,0.62,0.98
0.341,0.44,0.50,1.03
0.344,0.61,0.46,1.08
0.346,0.78,0.46,1.11
0.349,0.94,0.49,1.14
0.351,1.09,0.53,1.16
0.353,1.25,0.55,1.18
0.355,1.41,0.58,1.20
0.358,1.57,0.60,1.21
0.360,1.72,0.63,1.22
0.362,1.86,0.64,1.22
0.366,2.00,0.65,1.22
0.367,2.12,0.63,1.20
0.369,2.23,0.59,1.17
0.372,2.33,0.51,1.12
0.374,2.40,0.42,1.04
0.377,2.44,0.31,0.93
0.380,2.46,0.25,0.80
0.381,2.47,0.28,0.65
0.383,2.47,0.41,0.48
0.386,2.46,0.59,0.30
0.388,2.42,0.75,0.11
0.390,2.35,0.83,-0.09
0.393,2.26,0.83,-0.28
0.395,2.14,0.79,-0.45
0.397,2.00,0.73,-0.59
0.400,1.85,0.66,-0.71
0.402,1.69,0.59,-0.79
0.404,1.53,0.49,-0.86
0.407,1.37,0.37,-0.91
0.409,1.22,0.22,-0.94
0.411,1.07,0.07,-0.97
0.414,0.92,-0.07,-0.98
0.416,0.80,-0.20,-0.99
