time,wx,wy,wz
0.004,0.10,0.36,-0.04
0.004,0.11,0.41,-0.04
0.004,0.13,0.43,-0.04
0.005,0.15,0.47,-0.03
0.005,0.16,0.49,-0.03
0.005,0.18,0.52,-0.03
0.006,0.20,0.55,-0.03
0.008,0.23,0.58,-0.03
0.012,0.25,0.61,-0.03
0.015,0.27,0.64,-0.05
0.015,0.29,0.66,-0.06
0.017,0.33,0.67,-0.06
0.020,0.35,0.68,-0.07
0.022,0.38,0.69,-0.07
0.025,0.41,0.71,-0.07
0.027,0.44,0.72,-0.08
0.030,0.46,0.72,-0.08
0.032,0.49,0.75,-0.08
0.034,0.52,0.74,-0.08
0.036,0.54,0.74,-0.08
0.038,0.53,0.75,-0.08
0.041,0.54,0.76,-0.07
0.043,0.53,0.75,-0.07
0.045,0.51,0.76,-0.06
0.048,0.49,0.77,-0.06
0.050,0.46,0.78,-0.05
0.053,0.42,0.79,-0.04
0.055,0.38,0.82,-0.02
0.057,0.33,0.83,-0.01
0.059,0.28,0.86,0.01
0.062,0.23,0.90,0.03
0.064,0.17,0.94,0.06
0.066,0.10,0.98,0.09
0.068,0.03,1.03,0.12
0.071,-0.04,1.08,0.14
0.074,-0.12,1.13,0.17
0.076,-0.18,1.18,0.20
0.078,-0.24,1.22,0.24
0.081,-0.29,1.26,0.28
0.083,-0.33,1.29,0.32
0.085,-0.37,1.32,0.36
0.087,-0.40,1.35,0.41
0.089,-0.43,1.38,0.45
0.093,-0.45,1.42,0.49
0.099,-0.47,1.48,0.53
0.099,-0.47,1.52,0.57
0.099,-0.47,1.57,0.60
0.101,-0.47,1.63,0.64
0.103,-0.46,1.68,0.67
0.106,-0.44,1.73,0.71
0.110,-0.43,1.78,0.74
0.110,-0.40,1.81,0.77
0.114,-0.39,1.84,0.80
0.115,-0.33,1.85,0.83
0.118,-0.30,1.84,0.86
0.120,-0.27,1.83,0.88
0.122,-0.19,1.81,0.89
0.124,-0.14,1.76,0.91
0.127,-0.10,1.72,0.92
0.130,-0.06,1.66,0.92
0.132,0.00,1.57,0.92
0.134,0.05,1.49,0.91
0.136,0.09,1.40,0.91
0.138,0.11,1.31,0.90
0.141,0.16,1.21,0.90
0.143,0.17,1.09,0.89
0.145,0.19,1.00,0.87
0.148,0.21,0.92,0.86
0.150,0.20,0.82,0.85
0.152,0.20,0.74,0.83
0.155,0.20,0.68,0.80
